announcements,withdrawals,nlri_ann,dups,origin_0,origin_2,origin_changes,as_path_max,unique_as_path_max,edit_distance_avg,edit_distance_max,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_unique_dict_0,edit_distance_unique_dict_1,imp_wd,imp_wd_spath,imp_wd_dpath,number_rare_ases,rare_ases_avg,flaps,nadas,label,window_start,window_end
20,0,20,0,19,1,0,11,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0.2711864406779661,0,0,normal,2001-07-19 00:14:13,2001-07-19 00:14:14
14,4,14,0,12,2,0,7,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.19736842105263158,0,0,normal,2001-07-19 00:14:34,2001-07-19 00:14:35
4,62,4,0,1,1,0,5,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.9166666666666666,0,10,normal,2001-07-19 00:14:39,2001-07-19 00:14:40
489,3,489,0,478,11,0,9,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.014805922368947578,0,0,normal,2001-07-19 00:14:43,2001-07-19 00:14:44
2,13,2,0,2,0,0,4,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,0,10,normal,2001-07-19 00:15:03,2001-07-19 00:15:04
3,0,3,0,3,0,0,10,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.3333333333333333,0,0,normal,2001-07-19 00:15:06,2001-07-19 00:15:07
2,0,2,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0,0,normal,2001-07-19 00:15:10,2001-07-19 00:15:11
365,3,365,0,328,37,0,9,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0.0279388508170796,0,0,normal,2001-07-19 00:15:14,2001-07-19 00:15:15
1,0,1,0,1,0,0,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0,0,normal,2001-07-19 00:15:29,2001-07-19 00:15:30
12,1,12,0,11,1,0,6,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.30357142857142855,0,0,normal,2001-07-19 00:15:31,2001-07-19 00:15:32
13,0,13,0,12,1,0,10,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.14925373134328357,0,0,normal,2001-07-19 00:15:34,2001-07-19 00:15:35
31,0,31,0,30,1,0,8,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.16783216783216784,0,0,normal,2001-07-19 00:15:40,2001-07-19 00:15:41
2,0,2,0,2,0,0,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,0,0,normal,2001-07-19 00:15:58,2001-07-19 00:15:59
26,0,26,0,26,0,0,8,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.07857142857142857,0,0,normal,2001-07-19 00:15:59,2001-07-19 00:16:00
12,0,12,0,9,3,0,11,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.06493506493506493,0,0,normal,2001-07-19 00:16:04,2001-07-19 00:16:05
22,2,22,0,18,4,0,8,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.19672131147540983,0,0,normal,2001-07-19 00:16:06,2001-07-19 00:16:07
7,2,7,0,7,0,0,7,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.16,0,0,normal,2001-07-19 00:16:27,2001-07-19 00:16:28
14,2,14,0,11,3,0,6,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.12307692307692308,0,0,normal,2001-07-19 00:16:30,2001-07-19 00:16:31
14,0,14,0,12,2,0,11,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.16883116883116883,0,0,normal,2001-07-19 00:16:34,2001-07-19 00:16:35
25,3,25,0,24,1,0,9,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.16666666666666666,0,0,normal,2001-07-19 00:16:36,2001-07-19 00:16:37
2,0,2,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0,0,normal,2001-07-19 00:16:39,2001-07-19 00:16:40
0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,normal,2001-07-19 00:16:53,2001-07-19 00:16:54
27,1,27,0,24,3,0,6,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.06504065040650407,0,0,normal,2001-07-19 00:16:58,2001-07-19 00:16:59
11,0,11,0,8,3,0,6,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.1206896551724138,0,0,normal,2001-07-19 00:17:04,2001-07-19 00:17:05
30,0,30,0,28,2,0,10,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.11176470588235295,0,0,normal,2001-07-19 00:17:05,2001-07-19 00:17:06
1,0,1,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,normal,2001-07-19 00:17:10,2001-07-19 00:17:11
1,0,1,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,normal,2001-07-19 00:17:11,2001-07-19 00:17:12
1,1,1,0,1,0,0,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0,10,normal,2001-07-19 00:17:22,2001-07-19 00:17:23
1,0,1,0,1,0,0,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0,0,normal,2001-07-19 00:17:27,2001-07-19 00:17:28
23,0,23,0,20,3,0,8,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.13333333333333333,0,0,normal,2001-07-19 00:17:28,2001-07-19 00:17:29
8,1,8,0,5,3,0,11,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.2916666666666667,0,0,normal,2001-07-19 00:17:31,2001-07-19 00:17:32
22,2,22,0,21,1,0,8,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0.1875,0,0,normal,2001-07-19 00:17:33,2001-07-19 00:17:34
1,0,1,0,0,1,0,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0,0,normal,2001-07-19 00:17:49,2001-07-19 00:17:50
0,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,normal,2001-07-19 00:17:53,2001-07-19 00:17:54
8,0,8,0,6,2,0,5,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.45161290322580644,0,0,normal,2001-07-19 00:17:54,2001-07-19 00:17:55
0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,normal,2001-07-19 00:17:57,2001-07-19 00:17:58
9,0,9,0,5,4,0,7,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.29411764705882354,0,0,normal,2001-07-19 00:17:58,2001-07-19 00:17:59
12,1,12,0,7,5,0,7,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.14925373134328357,0,0,normal,2001-07-19 00:18:01,2001-07-19 00:18:02
0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,normal,2001-07-19 00:18:15,2001-07-19 00:18:16
6,1,6,0,6,0,0,6,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.6129032258064516,0,0,normal,2001-07-19 00:18:20,2001-07-19 00:18:21
4,3,4,0,4,0,0,6,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.4090909090909091,0,10,normal,2001-07-19 00:18:24,2001-07-19 00:18:25
1,0,1,0,1,0,0,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0,0,normal,2001-07-19 00:18:28,2001-07-19 00:18:29
7,0,7,0,6,1,0,7,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.2727272727272727,0,0,normal,2001-07-19 00:18:29,2001-07-19 00:18:30
2,0,2,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0,0,normal,2001-07-19 00:18:39,2001-07-19 00:18:40
1,0,1,0,1,0,0,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0,0,normal,2001-07-19 00:18:42,2001-07-19 00:18:43
8,2,8,0,8,0,0,6,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0.5526315789473685,0,0,normal,2001-07-19 00:18:48,2001-07-19 00:18:49
4,0,4,0,4,0,0,7,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.3333333333333333,0,0,normal,2001-07-19 00:18:54,2001-07-19 00:18:55
8,0,8,0,5,3,0,7,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.3673469387755102,0,0,normal,2001-07-19 00:18:55,2001-07-19 00:18:56
2,0,2,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0,0,normal,2001-07-19 00:19:11,2001-07-19 00:19:12
3,1,3,0,3,0,0,6,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.5833333333333334,0,0,normal,2001-07-19 00:19:15,2001-07-19 00:19:16
0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,normal,2001-07-19 00:19:21,2001-07-19 00:19:22
8,2,8,0,8,0,0,8,2,4.0,4,0,0,0,0,3,0,0,0,0,0,0,0,20,0.45454545454545453,0,0,normal,2001-07-19 00:19:22,2001-07-19 00:19:23
12,0,12,0,8,4,0,7,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.2033898305084746,0,0,normal,2001-07-19 00:19:42,2001-07-19 00:19:43
7,37,7,0,5,2,0,6,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.45714285714285713,0,10,normal,2001-07-19 00:19:50,2001-07-19 00:19:51
9,1,9,0,1,8,0,6,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.06,0,0,normal,2001-07-19 00:19:51,2001-07-19 00:19:52
0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,normal,2001-07-19 00:20:03,2001-07-19 00:20:04
22,4,22,0,10,12,0,8,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0.1926605504587156,0,0,normal,2001-07-19 00:20:12,2001-07-19 00:20:13
10,0,10,0,1,9,0,7,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.12244897959183673,0,0,normal,2001-07-19 00:20:18,2001-07-19 00:20:19
15,0,15,0,13,2,0,10,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0.29069767441860467,0,0,normal,2001-07-19 00:20:21,2001-07-19 00:20:22
5,0,5,0,5,0,0,9,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.25,0,0,normal,2001-07-19 00:20:32,2001-07-19 00:20:33
18,0,18,0,10,8,0,7,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.16831683168316833,0,0,normal,2001-07-19 00:20:38,2001-07-19 00:20:39
2,0,2,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0,0,normal,2001-07-19 00:20:39,2001-07-19 00:20:40
10,2,10,0,2,8,0,7,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.16981132075471697,0,0,normal,2001-07-19 00:20:44,2001-07-19 00:20:45
21,3,21,0,18,3,0,7,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0.2636363636363636,0,0,normal,2001-07-19 00:20:50,2001-07-19 00:20:51
1,8,1,0,1,0,0,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0,10,normal,2001-07-19 00:21:00,2001-07-19 00:21:01
11,0,11,0,11,0,0,11,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.19117647058823528,0,0,normal,2001-07-19 00:21:07,2001-07-19 00:21:08
2,0,2,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0,0,normal,2001-07-19 00:21:11,2001-07-19 00:21:12
6,0,6,0,6,0,0,10,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.15,0,0,normal,2001-07-19 00:21:14,2001-07-19 00:21:15
65,0,65,0,61,4,0,11,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0.0926517571884984,0,0,normal,2001-07-19 00:21:18,2001-07-19 00:21:19
1,0,1,0,1,0,0,6,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,0,0,normal,2001-07-19 00:21:28,2001-07-19 00:21:29
14,9,14,0,13,1,0,12,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.2222222222222222,0,10,normal,2001-07-19 00:21:36,2001-07-19 00:21:37
0,5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,normal,2001-07-19 00:21:42,2001-07-19 00:21:43
5,0,5,0,5,0,0,10,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.1935483870967742,0,0,normal,2001-07-19 00:21:43,2001-07-19 00:21:44
42,4,42,0,38,4,0,13,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.0642570281124498,0,0,normal,2001-07-19 00:21:47,2001-07-19 00:21:48
1,3,1,0,1,0,0,6,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,0,10,normal,2001-07-19 00:21:58,2001-07-19 00:21:59
14,18,14,0,14,0,0,9,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.22857142857142856,0,10,normal,2001-07-19 00:22:06,2001-07-19 00:22:07
5,1,5,0,5,0,0,12,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.12,0,0,normal,2001-07-19 00:22:12,2001-07-19 00:22:13
35,6,35,0,32,3,0,12,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.06914893617021277,0,0,normal,2001-07-19 00:22:17,2001-07-19 00:22:18
29,8,29,0,29,0,0,5,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.029411764705882353,0,0,normal,2001-07-19 00:22:34,2001-07-19 00:22:35
